country,serogroup,Vac.age,Waning,Age dep.,Impact
Brazil,PPV23,55,Fast waning,TRUE,"14.0% (14.0%, 14.0%)"
Brazil,PPV23,60,Fast waning,TRUE,"15.9% (15.9%, 15.9%)"
Brazil,PPV23,65,Fast waning,TRUE,"12.1% (12.1%, 12.1%)"
Brazil,PPV23,70,Fast waning,TRUE,"13.7% (13.7%, 13.7%)"
Brazil,PPV23,75,Fast waning,TRUE,"13.0% (13.0%, 13.0%)"
Brazil,PPV23,80,Fast waning,TRUE,"14.7% (14.7%, 14.7%)"
Brazil,PPV23,85,Fast waning,TRUE,"16.7% (16.7%, 16.7%)"
England,PPV23,55,Fast waning,TRUE,"7.8% (7.8%, 7.8%)"
England,PPV23,60,Fast waning,TRUE,"10.5% (10.5%, 10.5%)"
England,PPV23,65,Fast waning,TRUE,"9.5% (9.5%, 9.5%)"
England,PPV23,70,Fast waning,TRUE,"12.7% (12.7%, 12.7%)"
England,PPV23,75,Fast waning,TRUE,"14.3% (14.3%, 14.3%)"
England,PPV23,80,Fast waning,TRUE,"19.2% (19.2%, 19.2%)"
England,PPV23,85,Fast waning,TRUE,"25.9% (25.9%, 25.9%)"
Malawi,PPV23,55,Fast waning,TRUE,"16.3% (16.3%, 16.3%)"
Malawi,PPV23,60,Fast waning,TRUE,"17.5% (17.5%, 17.5%)"
Malawi,PPV23,65,Fast waning,TRUE,"12.5% (12.5%, 12.5%)"
Malawi,PPV23,70,Fast waning,TRUE,"13.7% (13.7%, 13.7%)"
Malawi,PPV23,75,Fast waning,TRUE,"12.3% (12.3%, 12.3%)"
Malawi,PPV23,80,Fast waning,TRUE,"13.3% (13.3%, 13.3%)"
Malawi,PPV23,85,Fast waning,TRUE,"14.4% (14.4%, 14.4%)"
South Africa,PPV23,55,Fast waning,TRUE,"14.0% (14.0%, 14.0%)"
South Africa,PPV23,60,Fast waning,TRUE,"16.0% (16.0%, 16.0%)"
South Africa,PPV23,65,Fast waning,TRUE,"12.1% (12.1%, 12.1%)"
South Africa,PPV23,70,Fast waning,TRUE,"13.7% (13.7%, 13.7%)"
South Africa,PPV23,75,Fast waning,TRUE,"12.9% (12.9%, 12.9%)"
South Africa,PPV23,80,Fast waning,TRUE,"14.7% (14.7%, 14.7%)"
South Africa,PPV23,85,Fast waning,TRUE,"16.6% (16.6%, 16.6%)"
